~id,~from,~label,~to
ba-1,b-1,suitable-for,age-1
ba-2,b-1,suitable-for,age-2
ba-3,b-2,suitable-for,age-3
ba-4,b-2,suitable-for,age-4
ba-5,b-3,suitable-for,age-1
ba-6,b-4,suitable-for,age-4
ba-7,b-5,suitable-for,age-1
ba-8,b-5,suitable-for,age-3
ba-9,b-6,suitable-for,age-1
ba-10,b-6,suitable-for,age-2
ba-11,b-7,suitable-for,age-3
ba-12,b-7,suitable-for,age-4
ba-13,b-8,suitable-for,age-1
ba-14,b-8,suitable-for,age-2
ba-15,b-8,suitable-for,age-4
ba-16,b-9,suitable-for,age-3
ba-17,b-9,suitable-for,age-4
ba-18,b-10,suitable-for,age-1
ba-19,b-10,suitable-for,age-3
