~id,~from,~label,~to
aw-11,a-1,wrote,b-11
aw-12,a-1,wrote,b-12
aw-13,a-1,wrote,b-13
aw-14,a-1,wrote,b-14
aw-15,a-1,wrote,b-15
aw-16,a-2,wrote,b-16
aw-17,a-2,wrote,b-17
aw-18,a-2,wrote,b-18
aw-19,a-3,wrote,b-19
aw-20,a-6,wrote,b-20
aw-21,a-6,wrote,b-21
aw-22,a-6,wrote,b-22
aw-23,a-6,wrote,b-23
aw-24,a-7,wrote,b-24
aw-25,a-7,wrote,b-25
aw-26,a-8,wrote,b-26
aw-27,a-8,wrote,b-27
aw-28,a-8,wrote,b-28
aw-29,a-9,wrote,b-29
aw-30,a-9,wrote,b-30
aw-31,a-9,wrote,b-31
aw-32,a-9,wrote,b-32
aw-33,a-9,wrote,b-33
aw-34,a-9,wrote,b-34
