~id,~from,~label,~to
bg-19,b-11,belongs-to,g-1
bg-20,b-12,belongs-to,g-1
bg-21,b-13,belongs-to,g-1
bg-22,b-14,belongs-to,g-1
bg-23,b-15,belongs-to,g-1
bg-24,b-16,belongs-to,g-1
bg-25,b-17,belongs-to,g-1
bg-26,b-18,belongs-to,g-1
bg-27,b-19,belongs-to,g-1
bg-28,b-20,belongs-to,g-1
bg-29,b-21,belongs-to,g-1
bg-30,b-22,belongs-to,g-1
bg-31,b-23,belongs-to,g-1
bg-32,b-24,belongs-to,g-1
bg-33,b-25,belongs-to,g-1
bg-34,b-26,belongs-to,g-2
bg-35,b-27,belongs-to,g-2
bg-36,b-28,belongs-to,g-2
bg-36,b-29,belongs-to,g-2
bg-36,b-30,belongs-to,g-2
bg-36,b-31,belongs-to,g-2
bg-36,b-32,belongs-to,g-2
bg-36,b-33,belongs-to,g-2
bg-36,b-34,belongs-to,g-2
