~id,~from,~label,~to
bs-11,b-11,part-of,s-1
bs-12,b-12,part-of,s-1
bs-13,b-13,part-of,s-1
bs-14,b-14,part-of,s-1
bs-15,b-15,part-of,s-1
bs-16,b-16,part-of,s-2
bs-17,b-17,part-of,s-2
bs-18,b-18,part-of,s-2
bs-19,b-19,part-of,s-3
bs-20,b-20,part-of,s-6
bs-21,b-21,part-of,s-6
bs-22,b-22,part-of,s-6
bs-23,b-23,part-of,s-6
bs-24,b-24,part-of,s-7
bs-25,b-25,part-of,s-7
bs-26,b-26,part-of,s-8
bs-27,b-27,part-of,s-8
bs-28,b-28,part-of,s-8
bs-29,b-29,part-of,s-9
bs-30,b-30,part-of,s-9
bs-31,b-31,part-of,s-9
bs-32,b-32,part-of,s-9
bs-33,b-33,part-of,s-9
bs-34,b-34,part-of,s-9
